"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value Error Code : 2 File Name : C:\\xampp\\htdocs\\1921930\\index.php Line Number : 90 Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:17:08.849400 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:02:29.179700 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:09:52.049800 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Safari"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:09:59.521600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Safari"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:10:05.115700 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Safari"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:11:58.547900 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:12:12.085000 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:12:13.300600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 18:12:14.100700 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Chrome"
"Error Name : Trying to access array offset on value of type null ,Error Code : 2 ,Time : 2021-03-14 01:49:25.814300 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 72 ,Browser Name : Chrome"
